num_categories,num_businesses,min_rating,max_rating,avg_rating
1,381,1.0,5.0,3.4
2,32563,1.0,5.0,3.5
3,27065,1.0,5.0,3.5
4,26354,1.0,5.0,3.6
5,23450,1.0,5.0,3.6
6,16233,1.0,5.0,3.6
7,10189,1.0,5.0,3.7
8,5869,1.0,5.0,3.8
9,3598,1.0,5.0,3.8
10,2024,1.0,5.0,3.9
11,1083,1.0,5.0,3.9
12,647,1.5,5.0,4.0
13,373,1.0,5.0,4.0
14,178,2.0,5.0,4.1
15,88,1.5,5.0,4.1
16,60,2.0,5.0,4.2
17,41,3.0,5.0,4.2
18,21,2.5,5.0,4.1
19,10,4.0,5.0,4.5
20,4,2.5,4.0,3.6
21,3,4.0,5.0,4.7
22,3,3.5,4.5,4.0
23,2,3.0,3.5,3.3
24,1,4.0,4.0,4.0
25,1,3.5,3.5,3.5
26,1,4.0,4.0,4.0
36,1,4.5,4.5,4.5
